Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price
Fujifilm FinePix 40i,2000,2400,1280,2,36,36,50,6,64,200,85.5,169
Fujifilm FinePix 50i,2001,2400,1600,2,36,36,50,6,64,200,85.5,169
Fujifilm DS-260HD,1999,1280,640,1,35,105,90,25,4,700,100,169
Fujifilm DS-300,1997,1280,640,1,35,105,20,20,0,700,153,169
Fujifilm FinePix 1300,2000,1280,640,1,38,38,80,8,8,240,110,169
Fujifilm FinePix 2300,2001,1600,1280,1,36,36,80,8,8,240,110,169
Fujifilm FinePix 2400 Zoom,2000,1600,1280,1,38,114,80,10,8,290,125,169
Fujifilm FinePix 2600 Zoom,2001,1600,1280,1,38,114,80,10,16,260,99,169
Fujifilm FinePix 2650,2002,1600,1280,1,38,114,80,8,16,235,100,169
Fujifilm FinePix 2800 Zoom,2001,1600,1280,1,38,228,80,10,16,360,95,169
Fujifilm Finepix 30i,2001,1600,1280,1,38,38,60,8,16,200,85,199
Fujifilm FinePix 3800,2002,2048,1600,3,38,228,80,10,16,400,100,399
Fujifilm FinePix 4800 Zoom,2001,2400,1600,2,36,108,60,20,16,280,80,169
Fujifilm FinePix 4900 Zoom,2000,2400,1600,2,35,210,50,10,16,450,110,169
Fujifilm FinePix 6800 Zoom,2001,2832,2048,3,36,108,60,20,16,280,80,169
Fujifilm FinePix 6900 Zoom,2001,2832,2048,3,35,210,50,10,16,450,110,169
Fujifilm FinePix A101,2001,1280,640,1,36,36,80,8,8,190,99,169
Fujifilm FinePix A120,2004,2016,1600,3,38,38,80,9,16,170,102,169
Fujifilm FinePix A200,2002,1600,1280,1,36,36,80,8,16,180,99,169
Fujifilm FinePix A201,2001,1600,1280,1,36,36,80,8,16,190,99,169
Fujifilm FinePix A203,2002,1600,1280,1,38,114,60,10,16,180,97,169
Fujifilm FinePix A205 Zoom,2003,1600,1280,1,36,108,80,10,16,225,99,169
Fujifilm FinePix A210 Zoom,2003,2048,1600,3,36,108,80,10,16,225,99,169
Fujifilm FinePix A303,2002,2048,1600,3,38,114,60,10,16,180,97,169
Fujifilm FinePix A310 Zoom,2003,2816,2048,3,38,114,60,10,16,190,97,169
Fujifilm FinePix A330,2004,2016,1600,3,38,114,60,10,16,160,104,169
Fujifilm FinePix A340,2004,2272,1600,4,38,114,60,10,16,160,104,169
Fujifilm FinePix A345 Zoom,2005,2304,2048,4,35,105,60,6,16,192,90,169
Fujifilm FinePix A350 Zoom,2005,2592,2048,5,35,105,60,6,16,192,90,169
Fujifilm FinePix A400 Zoom,2006,2303,1600,4,38,114,60,10,12,170,93,169
Fujifilm FinePix A500 Zoom,2006,2592,2048,5,38,114,60,10,12,170,93,169
Fujifilm FinePix A600 Zoom,2006,2848,2048,6,36,108,50,10,12,195,93,169
Fujifilm FinePix A610,2007,2848,2048,6,39,117,60,10,10,195,98,169
Fujifilm FinePix A800,2007,3296,2304,8,36,108,50,10,10,200,98,169
Fujifilm FinePix A820,2007,3296,2304,8,39,156,60,10,10,205,98,169
Fujifilm FinePix A900,2007,3488,2048,9,39,156,60,10,10,205,98,169
Fujifilm FinePix A920,2007,3488,2592,9,39,156,60,10,10,206,98,169
Fujifilm FinePix E500 Zoom,2004,2304,1600,4,28,91,60,6,16,226,101,169
Fujifilm FinePix E510 Zoom,2004,2592,2048,5,28,91,60,2,16,226,101,169
Fujifilm FinePix E550 Zoom,2004,4048,2048,6,32,130,60,7,16,260,105,169
Fujifilm FinePix E900 Zoom,2005,3488,2592,9,32,128,60,7,16,260,102,169
Fujifilm FinePix F10 Zoom,2005,2848,2048,6,36,108,60,8,16,190,92,179
