Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price
Sony Mavica FD-91,1998,1024,640,0,37,518,80,3,1,950,140,1399
Sony Mavica CD1000,2000,1600,1600,1,37,370,80,3,8,980,125,1399
Sony Mavica CD200,2001,1600,1024,1,39,117,50,3,8,620,144,1399
Sony Mavica CD250,2002,1600,1280,1,41,123,50,3,6,610,138,1399
Sony Mavica CD300,2001,2048,1600,3,34,102,50,4,8,620,144,1399
Sony Mavica CD350,2003,2048,1632,3,41,123,50,10,1,522,132,1399
Sony Mavica CD400,2002,2272,1600,3,34,102,50,4,6,640,138,1399
Sony Mavica CD500,2003,2592,2048,5,34,102,50,4,1,606,139,1399
Sony DSC-D700,1998,1344,640,1,28,140,20,0,8,900,130,149
Sony DSC-D770,1999,1344,640,1,28,140,20,0,8,900,130,149
Sony DSC-F505,1999,1600,1024,1,38,190,80,8,4,475,107,149
Sony DSC-F505V,2000,1856,1600,2,38,190,50,2,8,482,107,149
Sony DSC-F55,1999,1600,640,1,37,37,50,10,4,300,103,429
Sony DSC-F55V,2000,1856,1600,2,37,37,25,10,8,280,103,429
Sony DSC-F707,2001,2560,2048,4,38,190,50,2,16,667,162,149
Sony DSC-F717,2002,2560,2048,4,38,190,50,2,32,659,162,149
Sony DSC-F828,2003,3264,2592,8,28,200,50,2,0,906,134,429
Sony DSC-F88,2004,2592,2048,5,38,114,50,8,32,202,98,429
Sony DSC-G1,2007,2816,2048,6,38,114,50,8,2,238,93,429
Sony DSC-H1,2005,2592,2048,5,36,432,50,2,32,591,108,429
Sony DSC-H2,2006,2816,2048,6,36,432,50,2,32,490,108,429
Sony DSC-H3,2007,3264,3264,8,38,380,50,2,31,264,106,429
Sony DSC-H5,2006,3072,2592,7,36,432,50,2,32,490,108,429
Sony DSC-H7,2007,3264,2592,8,31,465,50,2,31,405,110,429
Sony DSC-H9,2007,3264,2592,8,31,465,50,2,31,440,110,429
Sony DSC-L1,2004,2304,1280,4,32,96,12,12,16,152,95,429
Sony DSC-M1,2004,2592,2048,5,38,114,50,8,32,215,51,429
Sony DSC-M2,2005,2592,2048,5,38,114,50,1,32,240,51,399
Sony DSC-N1,2005,3264,2592,8,38,114,50,6,32,139,94,429
Sony DSC-N2,2006,3264,2592,10,38,114,50,6,32,139,94,399
Sony DSC-P1,2000,2048,1600,3,39,117,50,10,8,250,114,429
Sony DSC-P10,2003,2592,2048,5,38,114,50,10,32,206,105,149
Sony DSC-P100,2004,2592,2048,5,38,114,50,10,32,180,108,149
Sony DSC-P150,2004,3072,2592,7,38,114,50,6,32,180,108,149
Sony DSC-P2,2002,1600,1280,1,39,117,50,10,16,214,114,399
Sony DSC-P20,2001,1216,1024,1,42,42,60,3,4,230,123,399
Sony DSC-P200,2005,3072,2592,7,38,114,50,6,32,180,104,399
Sony DSC-P3,2001,1920,1600,2,36,36,25,10,8,194,113,429
Sony DSC-P30,2001,1280,1024,1,41,123,50,3,4,250,143,149
Sony DSC-P31,2002,1600,1280,1,33,33,10,10,8,231,106,429
Sony DSC-P32,2003,2048,1632,3,33,33,10,10,16,217,101,429
Sony DSC-P41,2004,2272,1600,3,33,33,10,10,16,180,106,429
Sony DSC-P5,2001,2048,1600,3,39,117,50,10,8,214,113,429
Sony DSC-P50,2001,1600,1024,1,41,123,50,3,4,250,143,149
Sony DSC-P51,2002,1600,1280,1,41,82,8,8,16,275,127,429
Sony DSC-P52,2003,2048,1632,3,41,82,8,8,16,280,123,429
Sony DSC-P7,2002,2048,1600,3,39,117,50,10,16,214,114,149
Sony DSC-P71,2002,2048,1600,3,39,117,50,10,16,284,125,149
Sony DSC-P72,2003,2048,1632,3,39,117,50,10,16,259,120,149
Sony DSC-P73,2004,2272,1600,3,39,117,50,10,16,243,116,149
Sony DSC-P8,2003,2048,1632,3,39,117,50,10,16,206,105,429
Sony DSC-P9,2002,2272,1600,3,39,117,50,10,16,206,113,429
Sony DSC-P92,2003,2592,2048,5,38,114,50,10,16,259,120,429
Sony DSC-P93,2004,2592,2048,5,38,114,50,10,32,236,117,429
Sony DSC-R1,2005,3888,3264,10,24,120,0,0,0,995,139,429
Sony DSC-S30,2000,1280,640,1,39,117,25,3,4,370,113,149
Sony DSC-S40,2005,2304,2048,4,32,96,0,0,32,184,99,149
Sony DSC-S50,2000,1600,1280,1,39,117,25,3,4,370,113,149
