Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price,img_url1,img_url2,img_url3,img_url4,img_url5
Canon PowerShot A310,2004,2048,1600,3,33,33,0,5,0,205,110,139,/imagecamera/canon/CanonA310-1.jpg,
Canon PowerShot A400,2004,2048,1600,3,45,100,0,5,16,255,107,139,/imagecamera/canon/CanonA400-1.jpg,/imagecamera/canon/CanonA400-2.jpg,
Canon PowerShot A410,2005,2048,1600,3,41,131,0,1,16,195,103,139,/imagecamera/canon/CanonA410-1.jpg,/imagecamera/canon/CanonA410-2.jpg,
Canon PowerShot A420,2006,2272,1600,4,39,125,47,1,16,200,103,139,/imagecamera/canon/CanonA420-1.jpg,/imagecamera/canon/CanonA420-2.jpg,
Canon PowerShot A430,2006,2272,1600,4,39,156,47,1,16,210,103,139,/imagecamera/canon/CanonA430-1.jpg,/imagecamera/canon/CanonA430-2.jpg,/imagecamera/canon/CanonA430-3.jpg,/imagecamera/canon/CanonA430-4.jpg,
Canon PowerShot A450,2007,2592,2048,5,38,122,47,1,16,215,106,139,/imagecamera/canon/CanonA450-1.jpg,/imagecamera/canon/CanonA450-2.jpg,
Canon PowerShot A460,2007,2592,2048,5,38,152,47,1,16,215,106,139,/imagecamera/canon/CanonA460-1.jpg,
Canon PowerShot A510,2005,2048,1600,3,35,140,0,5,16,230,91,139,/imagecamera/canon/CanonA510-1.jpg,/imagecamera/canon/CanonA510-2.jpg,
Canon PowerShot A520,2005,2272,1600,3,35,140,0,5,16,230,91,149,/imagecamera/canon/CanonA520-1.jpg,
Canon PowerShot A530,2006,2592,2048,5,35,140,45,5,16,220,90,149,/imagecamera/canon/CanonA530-1.jpg,
Canon PowerShot A540,2006,2816,2272,6,35,140,45,5,16,230,90,149,/imagecamera/canon/CanonA540-1.jpg,
Canon PowerShot A550,2007,3072,2592,7,35,140,45,5,16,210,91,149,/imagecamera/canon/CanonA550-1.jpg,
Canon PowerShot A560,2007,3072,2592,7,35,140,45,5,16,205,91,149,/imagecamera/canon/CanonA560-1.jpg,
Canon PowerShot A570 IS,2007,3072,2592,7,35,140,45,5,16,215,90,149,/imagecamera/canon/CanonA570IS-1.jpg,/imagecamera/canon/CanonA570IS-2.jpg,
Canon PowerShot A610,2005,2592,2592,5,35,140,0,1,16,285,105,139,/imagecamera/canon/CanonA610-1.jpg,/imagecamera/canon/CanonA610-2.jpg,
Canon PowerShot A620,2005,3072,3072,7,35,140,0,1,32,285,105,139,/imagecamera/canon/CanonA620-1.jpg,
Canon PowerShot A630,2006,3264,2592,8,35,140,0,1,16,315,109,139,/imagecamera/canon/CanonA630-1.jpg,
Canon PowerShot A640,2006,3648,2816,10,35,140,0,1,32,315,109,139,/imagecamera/canon/CanonA640-1.jpg,
Canon PowerShot A650 IS,2007,4000,3264,12,35,210,0,1,32,300,97,399,/imagecamera/canon/CanonA650-1.jpg,
Canon PowerShot A700,2006,2816,2272,6,35,210,55,1,16,250,94,139,/imagecamera/canon/CanonA700-1.jpg,
Canon PowerShot A710 IS,2006,3072,2592,7,35,210,55,1,16,210,98,139,/imagecamera/canon/CanonA710-1.jpg,
Canon PowerShot A720 IS,2007,3264,2592,8,35,210,55,1,16,250,97,399,/imagecamera/canon/CanonA720-1.jpg,
Canon PowerShot A75,2004,2048,1600,3,35,105,46,5,32,315,101,139,/imagecamera/canon/CanonA75-1.jpg,
Canon PowerShot A85,2004,2272,1600,4,35,105,0,5,32,300,101,139,/imagecamera/canon/CanonA85-1.jpg,
