Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price,img_url1,img_url2,img_url3,img_url4,img_url5
Fujifilm FinePix 40i,2000,2400,1280,2,36,36,50,6,64,200,85.5,169,/imagecamera/fujiflim/fujiflim-finepix40i-1-1.jpg,/imagecamera/fujiflim/fujiflim-finepix40i-1-2.jpg,/imagecamera/fujiflim/fujiflim-finepix40i-1-3.jpeg,/imagecamera/fujiflim/fujiflim-finepix40i-1-4.jpeg,
Fujifilm FinePix 50i,2001,2400,1600,2,36,36,50,6,64,200,85.5,169,/imagecamera/fujiflim/fujiflim-finepix50i-1-1.png,/imagecamera/fujiflim/fujiflim-finepix50i-1-2.jpg,/imagecamera/fujiflim/fujiflim-finepix50i-1-3.jpg,,
Fujifilm DS-260HD,1999,1280,640,1,35,105,90,25,4,700,100,169,/imagecamera/fujiflim/fujiflim-DS-260HD-1-1.jpg,/imagecamera/fujiflim/fujiflim-DS-260HD-1-2.jpg,
Fujifilm DS-300,1997,1280,640,1,35,105,20,20,0,700,153,169,/imagecamera/fujiflim/fujiflim-DS-300-1-1.jpg,/imagecamera/fujiflim/fujiflim-DS-300-1-2.jpg,/imagecamera/fujiflim/fujiflim-DS-300-1-3.jpg,/imagecamera/fujiflim/fujiflim-DS-300-1-4.jpg,
Fujifilm FinePix 1300,2000,1280,640,1,38,38,80,8,8,240,110,169,/imagecamera/fujiflim/fujiflim-FinePix1300-1-1.jpg,/imagecamera/fujiflim/fujiflim-FinePix1300-1-2.jpg,,,
Fujifilm FinePix 2300,2001,1600,1280,1,36,36,80,8,8,240,110,169,/imagecamera/fujiflim/fujiflim-2300-1-1.jpg,/imagecamera/fujiflim/fujiflim-2300-1-2.jpg,,,
Fujifilm FinePix 2400 Zoom,2000,1600,1280,1,38,114,80,10,8,290,125,169,/imagecamera/fujiflim/fujiflim-2400-1-1.jpg,,,
Fujifilm FinePix 2600 Zoom,2001,1600,1280,1,38,114,80,10,16,260,99,169,/imagecamera/fujiflim/fujiflim-2600-1-1.jpg,/imagecamera/fujiflim/fujiflim-2600-1-2.jpg,,
Fujifilm FinePix 2650,2002,1600,1280,1,38,114,80,8,16,235,100,169,/imagecamera/fujiflim/fujiflim-2650-1-1.jpg,/imagecamera/fujiflim/fujiflim-2650-1-2.jpg,/imagecamera/fujiflim/fujiflim-2650-1-3.jpg,
Fujifilm FinePix 2800 Zoom,2001,1600,1280,1,38,228,80,10,16,360,95,169,/imagecamera/fujiflim/fujiflim-2800-1-1.jpg,/imagecamera/fujiflim/fujiflim-2800-1-2.jpg,/imagecamera/fujiflim/fujiflim-2800-1-3.jpg,
Fujifilm FinePix 3800,2002,2048,1600,3,38,228,80,10,16,400,100,399,/imagecamera/fujiflim/fujiflim-3800-1-1.jpg,/imagecamera/fujiflim/fujiflim-3800-1-2.jpg,,,
Fujifilm FinePix 4800 Zoom,2001,2400,1600,2,36,108,60,20,16,280,80,169,/imagecamera/fujiflim/fujiflim-4800-1-1.jpeg,,,
Fujifilm FinePix 4900 Zoom,2000,2400,1600,2,35,210,50,10,16,450,110,169,/imagecamera/fujiflim/fujiflim-4900-1-1.jpeg,/imagecamera/fujiflim/fujiflim-4900-1-2.jpeg,/imagecamera/fujiflim/fujiflim-4900-1-3.jpeg,,
Fujifilm FinePix 6800 Zoom,2001,2832,2048,3,36,108,60,20,16,280,80,169,/imagecamera/fujiflim/fujiflim-6800-1-1.jpeg,/imagecamera/fujiflim/fujiflim-6800-1-2.jpeg,,
Fujifilm FinePix 6900 Zoom,2001,2832,2048,3,35,210,50,10,16,450,110,169,/imagecamera/fujiflim/fujiflim-6900-1-1.jpeg,/imagecamera/fujiflim/fujiflim-6900-1-2.jpg,/imagecamera/fujiflim/fujiflim-6900-1-3.jpeg,,
Fujifilm FinePix A101,2001,1280,640,1,36,36,80,8,8,190,99,169,/imagecamera/fujiflim/fujiflim-A101-1-1.jpg,/imagecamera/fujiflim/fujiflim-A101-1-2.jpg,,
Fujifilm FinePix A120,2004,2016,1600,3,38,38,80,9,16,170,102,169,/imagecamera/fujiflim/fujiflim-A120-1-1.jpeg,,,
Fujifilm FinePix A200,2002,1600,1280,1,36,36,80,8,16,180,99,169,/imagecamera/fujiflim/fujiflim-A200-1-1.jpg,/imagecamera/fujiflim/fujiflim-A200-1-2.jpg,/imagecamera/fujiflim/fujiflim-A200-1-3.jpeg,,
Fujifilm FinePix A201,2001,1600,1280,1,36,36,80,8,16,190,99,169,/imagecamera/fujiflim/fujiflim-A201-1-1.jpg,/imagecamera/fujiflim/fujiflim-A201-1-2.jpg
Fujifilm FinePix A205 Zoom,2003,1600,1280,1,36,108,80,10,16,225,99,169,/imagecamera/fujiflim/fujiflim-A205-1-1.jpg,/imagecamera/fujiflim/fujiflim-A205-1-2.jpg,/imagecamera/fujiflim/fujiflim-A205-1-3.jpg,,
Fujifilm FinePix A210 Zoom,2003,2048,1600,3,36,108,80,10,16,225,99,169,/imagecamera/fujiflim/fujiflim-A210-1-1.jpg,/imagecamera/fujiflim/fujiflim-A210-1-2.jpg,,,
Fujifilm FinePix A303,2002,2048,1600,3,38,114,60,10,16,180,97,169,/imagecamera/fujiflim/fujiflim-A303-1-1.jpg,/imagecamera/fujiflim/fujiflim-A303-1-2.jpg,/imagecamera/fujiflim/fujiflim-A303-1-2.jpg,,
Fujifilm FinePix A310 Zoom,2003,2816,2048,3,38,114,60,10,16,190,97,169,/imagecamera/fujiflim/fujiflim-A310-1-1.jpeg,/imagecamera/fujiflim/fujiflim-A310-1-2.jpg,,
Fujifilm FinePix A330,2004,2016,1600,3,38,114,60,10,16,160,104,169,/imagecamera/fujiflim/fujiflim-A330-1-1.jpeg,
Fujifilm FinePix A340,2004,2272,1600,4,38,114,60,10,16,160,104,169,/imagecamera/fujiflim/fujiflim-A340-1-1.jpg,/imagecamera/fujiflim/fujiflim-A340-1-2.jpg,/imagecamera/fujiflim/fujiflim-A340-1-3.jpg,,
Fujifilm FinePix A345 Zoom,2005,2304,2048,4,35,105,60,6,16,192,90,169,/imagecamera/fujiflim/fujiflim-A345-1-1.jpg,/imagecamera/fujiflim/fujiflim-A345-1-2.jpg,/imagecamera/fujiflim/fujiflim-A345-1-3.jpg,/imagecamera/fujiflim/fujiflim-A345-1-4.jpg,
Fujifilm FinePix A350 Zoom,2005,2592,2048,5,35,105,60,6,16,192,90,169,/imagecamera/fujiflim/fujiflim-A350-1-1.jpg,/imagecamera/fujiflim/fujiflim-A350-1-3.jpg,/imagecamera/fujiflim/fujiflim-A350-1-3.jpg,
Fujifilm FinePix A400 Zoom,2006,2303,1600,4,38,114,60,10,12,170,93,169,/imagecamera/fujiflim/fujiflim-A400-1-1.jpg,/imagecamera/fujiflim/fujiflim-A400-1-2.jpg,/imagecamera/fujiflim/fujiflim-A400-1-3.jpg,,
Fujifilm FinePix A500 Zoom,2006,2592,2048,5,38,114,60,10,12,170,93,169,/imagecamera/fujiflim/fujiflim-A500-1-1.jpg,/imagecamera/fujiflim/fujiflim-A500-1-2.jpg,/imagecamera/fujiflim/fujiflim-A500-1-3.jpg,/imagecamera/fujiflim/fujiflim-A500-1-4.jpg,/imagecamera/fujiflim/fujiflim-A500-1-5.jpg
Fujifilm FinePix A600 Zoom,2006,2848,2048,6,36,108,50,10,12,195,93,169,/imagecamera/fujiflim/fujiflim-A600-1-1.jpg,/imagecamera/fujiflim/fujiflim-A600-1-2.jpg,/imagecamera/fujiflim/fujiflim-A600-1-3.jpg
Fujifilm FinePix A610,2007,2848,2048,6,39,117,60,10,10,195,98,169,/imagecamera/fujiflim/fujiflim-A610-1-1.jpg,/imagecamera/fujiflim/fujiflim-A610-1-2.jpg,/imagecamera/fujiflim/fujiflim-A610-1-3.jpg
Fujifilm FinePix A800,2007,3296,2304,8,36,108,50,10,10,200,98,169,/imagecamera/fujiflim/fujiflim-A800-1-1.jpg,imagecamera/fujiflim/fujiflim-A800-1-2.jpeg,,
Fujifilm FinePix A820,2007,3296,2304,8,39,156,60,10,10,205,98,169,/imagecamera/fujiflim/fujiflim-A820-1-1.jpg,/imagecamera/fujiflim/fujiflim-A820-1-2.jpg,,
Fujifilm FinePix A900,2007,3488,2048,9,39,156,60,10,10,205,98,169,/imagecamera/fujiflim/fujiflim-A900-1-1.jpg,/imagecamera/fujiflim/fujiflim-A900-1-2.jpg,/imagecamera/fujiflim/fujiflim-A900-1-3.jpg,
Fujifilm FinePix A920,2007,3488,2592,9,39,156,60,10,10,206,98,169,/imagecamera/fujiflim/fujiflim-A920-1-1.jpg,/imagecamera/fujiflim/fujiflim-A920-1-2.jpg,/imagecamera/fujiflim/fujiflim-A920-1-3.jpg,,
Fujifilm FinePix E500 Zoom,2004,2304,1600,4,28,91,60,6,16,226,101,169,/imagecamera/fujiflim/fujiflim-E500-1-1.jpg,/imagecamera/fujiflim/fujiflim-E500-1-2.jpg,/imagecamera/fujiflim/fujiflim-E500-1-3.jpg
Fujifilm FinePix E510 Zoom,2004,2592,2048,5,28,91,60,2,16,226,101,169,/imagecamera/fujiflim/fujiflim-E510-1-1.jpg,/imagecamera/fujiflim/fujiflim-E510-1-2.jpg,,
Fujifilm FinePix E550 Zoom,2004,4048,2048,6,32,130,60,7,16,260,105,169,/imagecamera/fujiflim/fujiflim-E550-1-1.jpeg,/imagecamera/fujiflim/fujiflim-E550-1-2.jpg,/imagecamera/fujiflim/fujiflim-E550-1-3.jpeg,,
Fujifilm FinePix E900 Zoom,2005,3488,2592,9,32,128,60,7,16,260,102,169,/imagecamera/fujiflim/fujiflim-E900-1-1.jpg,/imagecamera/fujiflim/fujiflim-E900-1-2.jpg,/imagecamera/fujiflim/fujiflim-E900-1-3.jpg,,
Fujifilm FinePix F10 Zoom,2005,2848,2048,6,36,108,60,8,16,190,92,179,/imagecamera/fujiflim/fujiflim-F10-1-1.jpg,/imagecamera/fujiflim/fujiflim-F10-1-2.jpg,/imagecamera/fujiflim/fujiflim-F10-1-3.jpeg,,
Fujifilm FinePix F20 Zoom,2006,2848,2048,6,36,108,60,5,10,190,94,169,/imagecamera/fujiflim/fujiflim-F20-1-1.jpg,/imagecamera/fujiflim/fujiflim-F20-1-2.jpg,,
Fujifilm FinePix F30 Zoom,2006,2848,2048,6,36,108,60,5,10,185,93,169,/imagecamera/fujiflim/fujiflim-F30-1-1.jpg,/imagecamera/fujiflim/fujiflim-F30-1-2.jpg,/imagecamera/fujiflim/fujiflim-F30-1-3.jpg,/imagecamera/fujiflim/fujiflim-F30-1-4.jpg,
Fujifilm FinePix F31 fd,2006,2848,2048,6,36,108,60,5,26,185,93,199,/imagecamera/fujiflim/fujiflim-F31-1-1.jpeg,/imagecamera/fujiflim/fujiflim-F31-1-2.jpg,
Fujifilm FinePix F401 Zoom,2002,2304,1600,2,38,114,60,10,16,200,85,169,/imagecamera/fujiflim/fujiflim-F401-1-1.jpeg,/imagecamera/fujiflim/fujiflim-F401-1-2.jpeg,/imagecamera/fujiflim/fujiflim-F401-1-3.jpg,
Fujifilm FinePix F402,2002,2304,1600,2,39,39,50,6,16,145,77,199,/imagecamera/fujiflim/fujiflim-F402-1-1.jpg,/imagecamera/fujiflim/fujiflim-F402-1-2.jpg,
Fujifilm FinePix F40 fd,2007,3296,2304,8,36,108,45,7,25,181,96,199,/imagecamera/fujiflim/fujiflim-F40-1-1.jpg,
Fujifilm FinePix F410 Zoom,2003,2816,2048,3,38,114,60,10,16,205,85,169,/imagecamera/fujiflim/fujiflim-F410-1-1.jpg,/imagecamera/fujiflim/fujiflim-F410-1-2.jpg,
Fujifilm FinePix F420 Zoom,2003,2816,2048,3,36,108,60,8,16,180,77,169,/imagecamera/fujiflim/fujiflim-F420-1-1.jpg,
Fujifilm FinePix F440 Zoom,2004,2304,1600,3,38,130,60,9,16,180,75,169,/imagecamera/fujiflim/fujiflim-F440-1-1.jpg,/imagecamera/fujiflim/fujiflim-F440-1-2.jpeg,
Fujifilm FinePix F450 Zoom,2004,2592,2048,5,38,130,60,9,16,180,75,199,/imagecamera/fujiflim/fujiflim-F450-1-1.jpg,/imagecamera/fujiflim/fujiflim-F450-1-2.jpg,
Fujifilm FinePix F455 Zoom,2004,2592,2048,5,38,130,60,9,16,180,93,199,/imagecamera/fujiflim/fujiflim-F455-1-1.jpg,/imagecamera/fujiflim/fujiflim-F455-1-2.jpg,/imagecamera/fujiflim/fujiflim-F455-1-3.jpg,
Fujifilm FinePix F470 Zoom,2006,2816,2048,6,35,105,70,10,16,150,92,169,/imagecamera/fujiflim/fujiflim-F470-1-1.jpg,/imagecamera/fujiflim/fujiflim-F470-1-2.jpg,
Fujifilm FinePix F480 Zoom,2007,3264,2304,8,28,112,40,5,12,170,96,169,/imagecamera/fujiflim/fujiflim-F480-1-1.jpeg,/imagecamera/fujiflim/fujiflim-F480-1-2.jpg,/imagecamera/fujiflim/fujiflim-F480-1-3.jpg,
Fujifilm FinePix F50 fd,2007,4000,2848,12,35,105,45,7,25,205,93,199,/imagecamera/fujiflim/fujiflim-F50-1-1.jpeg,/imagecamera/fujiflim/fujiflim-F50-1-2.jpg,/imagecamera/fujiflim/fujiflim-F50-1-3.jpg,,
Fujifilm FinePix F601Z,2002,2832,2048,3,36,108,60,20,16,280,72,169,/imagecamera/fujiflim/fujiflim-F601Z-1-1.jpg,/imagecamera/fujiflim/fujiflim-F601Z-1-2.jpg,/imagecamera/fujiflim/fujiflim-F601Z-1-3.jpg,/imagecamera/fujiflim/fujiflim-F601Z-1-4.jpg,
Fujifilm FinePix F610,2003,4048,2848,6,35,105,60,9,16,205,72,169,/imagecamera/fujiflim/fujiflim-F610-1-1.jpg,/imagecamera/fujiflim/fujiflim-F610-1-2.jpg,/imagecamera/fujiflim/fujiflim-F610-1-3.jpg,
Fujifilm FinePix F650 Zoom,2006,2816,2048,6,36,180,60,3,32,200,105,169,/imagecamera/fujiflim/fujiflim-F650-1-1.jpg,/imagecamera/fujiflim/fujiflim-F650-1-2.jpg,/imagecamera/fujiflim/fujiflim-F650-1-3.jpg,
Fujifilm FinePix F700,2003,2832,2048,3,35,105,60,9,16,205,108,169,/imagecamera/fujiflim/fujiflim-F700-1-1.jpeg,/imagecamera/fujiflim/fujiflim-F700-1-2.jpg,/imagecamera/fujiflim/fujiflim-F700-1-3.jpg,
