Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price,img_url1,img_url2,img_url3,img_url4,img_url5
Sony DSC-F88,2004,2592,2048,5,38,114,50,8,32,202,98,429,/imagecamera/sony/Sony-DSC-F88-5.jpg,/imagecamera/sony/Sony-DSC-F88-1.jpg,/imagecamera/sony/Sony-DSC-F88-2.jpg,/imagecamera/sony/Sony-DSC-F88-3.jpg,/imagecamera/sony/Sony-DSC-F88-4.jpg
Sony DSC-G1,2007,2816,2048,6,38,114,50,8,2,238,93,429,/imagecamera/sony/Sony-DSC-G1-1.jpg,/imagecamera/sony/Sony-DSC-G1-2.jpg,
Sony DSC-H1,2005,2592,2048,5,36,432,50,2,32,591,108,429,/imagecamera/sony/Sony-DSC-H1-1.jpg,/imagecamera/sony/Sony-DSC-H1-2.jpg,
Sony DSC-H2,2006,2816,2048,6,36,432,50,2,32,490,108,429,/imagecamera/sony/Sony-DSC-H2-1.jpg,
Sony DSC-H3,2007,3264,3264,8,38,380,50,2,31,264,106,429,/imagecamera/sony/Sony-DSC-H3-1.jpg,/imagecamera/sony/Sony-DSC-H3-2.jpg,
Sony DSC-H5,2006,3072,2592,7,36,432,50,2,32,490,108,429,/imagecamera/sony/Sony-DSC-H5-1.jpg,/imagecamera/sony/Sony-DSC-H5-2.jpg,
Sony DSC-H7,2007,3264,2592,8,31,465,50,2,31,405,110,429,/imagecamera/sony/Sony-DSC-H7-1.jpg,
Sony DSC-H9,2007,3264,2592,8,31,465,50,2,31,440,110,429,/imagecamera/sony/Sony-DSC-H9-1.jpg,/imagecamera/sony/Sony-DSC-H9-2.jpg,
Sony DSC-L1,2004,2304,1280,4,32,96,12,12,16,152,95,429,/imagecamera/sony/Sony-DSC-L1-1.jpg,/imagecamera/sony/Sony-DSC-L1-2.jpg,/imagecamera/sony/Sony-DSC-L1-3.jpg,
Sony DSC-M1,2004,2592,2048,5,38,114,50,8,32,215,51,429,/imagecamera/sony/Sony-DSC-M1-1.jpg,/imagecamera/sony/Sony-DSC-M1-2.jpg,
Sony DSC-M2,2005,2592,2048,5,38,114,50,1,32,240,51,399,/imagecamera/sony/Sony-DSC-M2-1.jpg,/imagecamera/sony/Sony-DSC-M2-2.jpg,
Sony DSC-N1,2005,3264,2592,8,38,114,50,6,32,139,94,429,/imagecamera/sony/Sony-DSC-N1-1.jpg,
Sony DSC-N2,2006,3264,2592,10,38,114,50,6,32,139,94,399,/imagecamera/sony/Sony-DSC-N2-1.jpg,/imagecamera/sony/Sony-DSC-N2-2.jpg,
Sony DSC-P100,2004,2592,2048,5,38,114,50,10,32,180,108,149,/imagecamera/sony/Sony-DSC-P100-1.jpg,/imagecamera/sony/Sony-DSC-P100-2.jpg,
Sony DSC-P150,2004,3072,2592,7,38,114,50,6,32,180,108,149,/imagecamera/sony/Sony-DSC-P150-1.jpg,/imagecamera/sony/Sony-DSC-P150-2.jpg,/imagecamera/sony/Sony-DSC-P150-3.jpg,
Sony DSC-P200,2005,3072,2592,7,38,114,50,6,32,180,104,399,/imagecamera/sony/Sony-DSC-P200-1.jpg,/imagecamera/sony/Sony-DSC-P200-2.jpg,/imagecamera/sony/Sony-DSC-P200-3.jpg,
Sony DSC-P41,2004,2272,1600,3,33,33,10,10,16,180,106,429,/imagecamera/sony/Sony-DSC-P41-1.jpg,
Sony DSC-P73,2004,2272,1600,3,39,117,50,10,16,243,116,149,/imagecamera/sony/Sony-DSC-P73-1.jpg,
Sony DSC-P93,2004,2592,2048,5,38,114,50,10,32,236,117,429,/imagecamera/sony/Sony-DSC-P93-1.jpg,
Sony DSC-R1,2005,3888,3264,10,24,120,0,0,0,995,139,429,/imagecamera/sony/Sony-DSC-R1-1.jpg,
Sony DSC-S40,2005,2304,2048,4,32,96,0,0,32,184,99,149,/imagecamera/sony/Sony-DSC-S40-1.jpg,
Sony DSC-S60,2005,2304,2048,4,39,117,50,10,32,249,97,149,/imagecamera/sony/Sony-DSC-S60-1.jpg,
Sony DSC-S600,2006,2816,2048,6,31,93,12,0,32,180,100,149,/imagecamera/sony/Sony-DSC-S600-1.jpg,/imagecamera/sony/Sony-DSC-S600-2.jpg,
Sony DSC-S650,2007,3072,2592,7,35,105,35,5,24,178,91,149,/imagecamera/sony/Sony-DSC-S650-1.jpg,
Sony DSC-S700,2007,3072,2592,7,35,105,35,5,24,178,91,149,/imagecamera/sony/Sony-DSC-S700-1.jpg,/imagecamera/sony/Sony-DSC-S700-2.jpg,
Sony DSC-S800,2007,3264,2592,8,37,222,50,2,54,245,93,149,/imagecamera/sony/Sony-DSC-S800-1.jpg,
Sony DSC-S90,2005,2304,2048,4,39,117,50,10,32,253,97,149,/imagecamera/sony/Sony-DSC-S90-1.jpg,/imagecamera/sony/Sony-DSC-S90-2.jpg
Sony DSC-T10,2006,3072,2592,7,38,114,50,1,56,168,90,399,/imagecamera/sony/Sony-DSC-T10-1.jpg,/imagecamera/sony/Sony-DSC-T10-2.jpg,/imagecamera/sony/Sony-DSC-T10-3.jpg,/imagecamera/sony/Sony-DSC-T10-4.jpg,/imagecamera/sony/Sony-DSC-T10-5.jpg
Sony DSC-T100,2007,3264,2592,8,35,175,50,1,31,197,92,399,/imagecamera/sony/Sony-DSC-T100-1.jpg,/imagecamera/sony/Sony-DSC-T100-2.jpg,/imagecamera/sony/Sony-DSC-T100-3.jpg,/imagecamera/sony/Sony-DSC-T100-4.jpg,Sony-DSC-T100-5.jpg
Sony DSC-T11,2004,2592,2048,5,38,114,50,8,32,186,103,399,/imagecamera/sony/Sony-DSC-T11-1.jpg,
Sony DSC-T20,2007,3264,2592,8,38,114,50,1,31,197,90,399,/imagecamera/sony/Sony-DSC-T20-1.jpg,/imagecamera/sony/Sony-DSC-T20-2.jpg,/imagecamera/sony/Sony-DSC-T20-3.jpg,/imagecamera/sony/Sony-DSC-T20-4.jpg,
