brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url,img_url2,img_url3,img_url4,img_url5
acer,Aspire,AMD,Athlon Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,31990,36990,13,4.2,76,13,/imagelaptop/acer/acer-aspire-1-1.jpg,/imagelaptop/acer/acer-aspire-1-2.jpg,/imagelaptop/acer/acer-aspire-1-3.jpg,/imagelaptop/acer/acer-aspire-1-4.jpg,/imagelaptop/acer/acer-aspire-1-5.jpg
acer,Aspire,AMD,Ryzen,10th,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,54990,89000,38,4.5,3190,414,/imagelaptop/acer/acer-aspire-2-1.jpg,/imagelaptop/acer/acer-aspire-2-2.jpg,/imagelaptop/acer/acer-aspire-2-3.jpg,/imagelaptop/acer/acer-aspire-2-4.jpg,/imagelaptop/acer/acer-aspire-2-5.jpg
acer,Nitro,AMD,Ryzen 5,10th,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,59990,99999,40,4.5,1946,240,/imagelaptop/acer/acer-nitro5-1-1.jpg,/imagelaptop/acer/acer-nitro5-1-2.jpg,/imagelaptop/acer/acer-nitro5-1-3.jpg,/imagelaptop/acer/acer-nitro5-1-4.jpg,/imagelaptop/acer/acer-nitro5-1-5.jpg
acer,Nitro,AMD,Ryzen 5,10th,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,6,Casual,Missing,0,No,No,93700,139000,32,4.5,259,47,/imagelaptop/acer/acer-nitro5-1-1.jpg,/imagelaptop/acer/acer-nitro5-1-2.jpg,/imagelaptop/acer/acer-nitro5-1-3.jpg,/imagelaptop/acer/acer-nitro5-1-4.jpg,/imagelaptop/acer/acer-nitro5-1-5.jpg
acer,Nitro,AMD,Ryzen 5,10th,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,72990,99999,27,4.5,425,67,/imagelaptop/acer/acer-nitro5-1-1.jpg,/imagelaptop/acer/acer-nitro5-1-2.jpg,/imagelaptop/acer/acer-nitro5-1-3.jpg,/imagelaptop/acer/acer-nitro5-1-4.jpg,/imagelaptop/acer/acer-nitro5-1-5.jpg
acer,Aspire,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,38990,52999,26,0,0,0,/imagelaptop/acer/acer-aspire-1-1.jpg,/imagelaptop/acer/acer-aspire-1-2.jpg,/imagelaptop/acer/acer-aspire-1-3.jpg,/imagelaptop/acer/acer-aspire-1-4.jpg,/imagelaptop/acer/acer-aspire-1-5.jpg
acer,Missing,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,36999,45000,17,0,0,0,/imagelaptop/acer/acer-ravelmate-1-1.jpg,/imagelaptop/acer/acer-ravelmate-1-2.jpg,/imagelaptop/acer/acer-ravelmate-1-3.jpg,/imagelaptop/acer/acer-ravelmate-1-4.jpg,/imagelaptop/acer/acer-ravelmate-1-5.jpg
acer,Travelmate,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,40990,60000,31,4.2,38,2,/imagelaptop/acer/acer-ravelmate-1-1.jpg,/imagelaptop/acer/acer-ravelmate-1-2.jpg,/imagelaptop/acer/acer-ravelmate-1-3.jpg,/imagelaptop/acer/acer-ravelmate-1-4.jpg,/imagelaptop/acer/acer-ravelmate-1-5.jpg
acer,Predator,Intel,Core,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,99990,149999,33,4.5,1336,186,/imagelaptop/acer/acer-predator-1-1.jpg,/imagelaptop/acer/acer-predator-1-2.jpg,/imagelaptop/acer/acer-predator-1-3.jpg,/imagelaptop/acer/acer-predator-1-4.jpg,/imagelaptop/acer/acer-predator-1-5.jpg
acer,Aspire,Intel,Core i5,Missing,8 GB GB,DDR5,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,50990,89999,43,4.4,10966,1185,/imagelaptop/acer/acer-aspire-1-1.jpg,/imagelaptop/acer/acer-aspire-1-2.jpg,/imagelaptop/acer/acer-aspire-1-3.jpg,/imagelaptop/acer/acer-aspire-1-4.jpg,/imagelaptop/acer/acer-aspire-1-5.jpg
