brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url,img_url2,img_url3,img_url4,img_url5
APPLE,MacBook,M1,M1,10th,8 GB GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,85990,92900,7,4.7,6725,629,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,8 GB GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,112990,122900,8,4.8,640,70,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,16 GB GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,104990,112900,7,4.7,45,4,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,8 GB GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,112990,122900,8,4.8,640,70,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,16 GB GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,132990,149900,11,4.8,640,70,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,16 GB GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,104990,112900,7,4.7,45,4,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,8 GB GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,85990,92900,7,4.7,6725,629,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,16 GB GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,149990,163900,8,4.8,640,70,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,8 GB GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,125990,142900,11,4.6,399,45,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
APPLE,MacBook,M1,M1,10th,8 GB GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,103990,117900,11,4.7,809,91,/imagelaptop/apple/macbook-m1-1.jpg,/imagelaptop/apple/macbook-m1-2.jpg,/imagelaptop/apple/macbook-m1-3.jpg,/imagelaptop/apple/macbook-m1-4.jpg,/imagelaptop/apple/macbook-m1-5.jpg
