brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url1,img_url2,img_url3,img_url4,img_url5
ASUS,ExpertBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34649,41990,17,2.3,3,0,/imagelaptop/asus/asus-expertBook-1-1.jpg,/imagelaptop/asus/asus-expertBook-1-2.jpg,/imagelaptop/asus/asus-expertBook-1-3.jpg,/imagelaptop/asus/asus-expertBook-1-4.jpg,/imagelaptop/asus/asus-expertBook-1-5.jpg
ASUS,ExpertBook,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,Missing,0,No,No,69990,0,0,0,0,0,/imagelaptop/asus/asus-expertBook-1-1.jpg,/imagelaptop/asus/asus-expertBook-1-2.jpg,/imagelaptop/asus/asus-expertBook-1-3.jpg,/imagelaptop/asus/asus-expertBook-1-4.jpg,/imagelaptop/asus/asus-expertBook-1-5.jpg
ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,26990,28990,6,0,0,0,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,ExpertBook,Intel,Core i5,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,14,0,No,No,58799,77990,24,0,0,0,/imagelaptop/asus/asus-expertBook-1-1.jpg,/imagelaptop/asus/asus-expertBook-1-2.jpg,/imagelaptop/asus/asus-expertBook-1-3.jpg,/imagelaptop/asus/asus-expertBook-1-4.jpg,/imagelaptop/asus/asus-expertBook-1-5.jpg
ASUS,ExpertBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,35990,42990,16,0,0,0,/imagelaptop/asus/asus-expertBook-1-1.jpg,/imagelaptop/asus/asus-expertBook-1-2.jpg,/imagelaptop/asus/asus-expertBook-1-3.jpg,/imagelaptop/asus/asus-expertBook-1-4.jpg,/imagelaptop/asus/asus-expertBook-1-5.jpg
ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,29890,33990,12,4,7,0,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,35990,49990,28,4.3,1479,181,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,33980,46990,27,4.4,67,3,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,37890,51990,27,4.6,44,5,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
