brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url1,img_url2,img_url3,img_url4,img_url5
HP,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,14,0,No,No,20900,22825,8,3.9,1185,141,,,,,
HP,Athlon,AMD,Athlon Dual,10th,32 GB GB,DDR4,32 GB,0 GB,Windows,32-bit,4,Casual,14,0,No,No,26899,27668,2,0,0,0,,,,,
HP,x360,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,56490,64923,12,0,0,0,,,,,
HP,x360,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,65390,76436,14,0,0,0,,,,,
HP,Celeron,Intel,Celeron Dual,Missing,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32490,39288,17,4,58,6,,,,,
HP,15q,Intel,Core i3,7th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,32955,0,0,4.2,311,27,,,,,
HP,250-G6,Intel,Core i5,7th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,15.6,0,No,No,46200,0,0,4.2,47,7,,,,,
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39990,50085,20,4.2,273,30,,,,,
HP,Pavilion,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,63510,14,4.6,14,0,,,,,
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44900,51000,11,4.2,1029,107,,,,,
HP,14s,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,42490,45892,7,4.4,5205,561,,,,,
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44376,45376,2,4.2,1090,96,,,,,
HP,Pavilion,Intel,Core i3,8th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,54238,0,0,4.4,71,8,,,,,
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42990,57330,25,4.4,158,18,,,,,
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42990,49590,13,4.3,681,59,,,,,
HP,Missing,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42490,50294,15,4.3,1296,126,,,,,
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43970,50196,12,4.3,571,56,,,,,
HP,Pavilion,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,54990,69267,20,4.5,35,3,,,,,
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,41250,46602,11,4.1,117,11,,,,,
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,44990,52900,14,0,0,0,,,,,
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45650,55202,17,4.1,39,4,,,,,
HP,15s,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,45490,46990,3,4.3,523,66,,,,,
HP,Missing,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,38799,47916,19,4.4,30,1,,,,,
HP,Pavilion,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,69267,0,0,0,0,0,,,,,
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,47990,51165,6,4.3,1605,215,,,,,
HP,15s,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,Missing,1,No,No,50990,51748,1,0,0,0,,,,,
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,48900,50000,2,4.3,1278,135,,,,,
HP,Pavilion,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,55490,65853,15,4.3,143,15,,,,,
HP,15s,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43690,48933,10,4.1,4999,490,,,,,
HP,15s,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,39990,45514,12,3.9,324,45,,,,,
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,41990,47264,11,4,69,5,,,,,
HP,Notebook,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,39790,43296,8,3.9,40,3,,,,,
HP,14s,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,36490,42787,14,3.8,1146,175,,,,,
HP,15s,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,40750,43090,5,4.1,1096,116,,,,,
HP,DA,Intel,Core i3,7th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,2,Casual,15.6,0,No,No,49279,0,0,4.5,38,3,,,,,
HP,14a,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,26470,31532,16,3.6,232,23,,,,,
HP,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,27990,31532,11,3.8,596,65,,,,,
HP,15s,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,ThinNlight,Missing,0,No,No,55990,63179,11,4,818,109,,,,,
HP,Omen,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,102551,0,0,0,0,0,,,,,
