brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url1,img_url2,img_url3,img_url4,img_url5
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,32790,23,3.7,63,12,./public/imagelaptop/LenovoA6-9225-1024GB.webp,./public/imagelaptop/LenovoA6-9225-1024GB2.webp,./public/imagelaptop/LenovoA6-9225-1024GB3.webp,,
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,19590,21325,8,3.6,1894,256,./public/imagelaptop/Lenovo-Ideapad-512GB.png,./public/imagelaptop/Lenovo-Ideapad-512GB2.jpg,./public/imagelaptop/Lenovo-Ideapad-512GB3.jpg,,
Lenovo,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,21896,0,0,3.9,219,18,./public/imagelaptop/lenovo-apu-amd.jpg,./public/imagelaptop/lenovo-apu-amd2.jpg,./public/imagelaptop/lenovo-apu-amd3.jpg,./public/imagelaptop/lenovo-apu-amd4.jpg,
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,38999,42705,8,3.8,65,5,./public/imagelaptop/Lenovo-Ideapad-inttel-corei3.jpg,./public/imagelaptop/Lenovo-Ideapad-inttel-corei32.jpg,./public/imagelaptop/Lenovo-Ideapad-inttel-corei33.jpg,./public/imagelaptop/Lenovo-Ideapad-inttel-corei34.jpg,./public/imagelaptop/Lenovo-Ideapad-inttel-corei35.jpg
Lenovo,v15,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,39999,43999,9,3.1,8,1,,,,,
Lenovo,Missing,Intel,Core i5,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,14,0,No,No,49999,59000,15,0,0,0,,,,,
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,31999,38999,17,4,286,19,,,,,
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,31799,36999,14,0,0,0,,,,,
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,2,No,Yes,37990,57990,34,4.3,2080,235,,,,,
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,38990,60890,35,4.2,33,4,,,,,
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,37990,57990,34,4.2,286,36,,,,,
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,61590,35,4.3,543,65,,,,,
Lenovo,Ideapad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,75490,28,4.4,299,41,,,,,
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,No,38940,48200,19,4.3,758,64,,,,,
Lenovo,Ideapad,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,39999,59999,33,5,4,0,,,,,
Lenovo,Ideapad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,57290,26,4.4,1084,160,,,,,
Lenovo,Missing,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15,1,No,Yes,38990,51544,24,4.4,106,13,,,,,
Lenovo,ThinkPad,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,44990,59239,24,4.1,42,4,,,,,
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,36490,53790,32,0,0,0,,,,,
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38970,56590,31,0,0,0,,,,,
Lenovo,Ideapad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,40200,49999,19,3.9,48,1,,,,,
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,40990,56800,27,3.7,3,0,,,,,
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,41998,56590,25,4.4,529,39,,,,,
Lenovo,Ideapad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,2,No,Yes,39999,59999,33,0,0,0,,,,,
Lenovo,Ideapad,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,39998,60090,33,4.2,10,1,,,,,
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,41990,49800,15,3.7,3,0,,,,,
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,40990,48900,16,5,1,1,,,,,
Lenovo,V15,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,43990,50250,12,0,0,0,,,,,
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,38990,62190,37,3.9,13,1,,,,,
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,Yes,No,54990,79690,30,4.5,245,34,,,,,
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,42990,63790,32,4.4,984,99,,,,,
Lenovo,Ideapad,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,57999,85000,31,3.4,10,2,,,,,
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4,2124,233,,,,,
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38990,55890,30,0,0,0,,,,,
