brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url,img_url2,img_url3,img_url4,img_url5
MSI,Katana,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,2,No,No,76990,106990,28,4.6,75,17,/imagelaptop/msi/msi-katana-1-1.jpg,/imagelaptop/msi/msi-katana-1-2.jpg,/imagelaptop/msi/msi-katana-1-3.jpg,/imagelaptop/msi/msi-katana-1-4.jpg,/imagelaptop/msi/msi-katana-1-5.jpg
MSI,GF63,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,2,No,No,59990,83990,28,4.5,1597,228,/imagelaptop/msi/dell-GF63-1-1.jpg,/imagelaptop/msi/dell-GF63-1-2.jpg,/imagelaptop/msi/dell-GF63-1-3.jpg,/imagelaptop/msi/dell-GF63-1-4.jpg,/imagelaptop/msi/dell-GF63-1-5.jpg
MSI,Modern,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,0,No,No,56541,61990,8,4.4,677,87,/imagelaptop/msi/msi-model-1-1.jpg,/imagelaptop/msi/msi-model-1-2.jpg,/imagelaptop/msi/msi-model-1-3.jpg,/imagelaptop/msi/msi-model-1-4.jpg,
MSI,Prestige,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,No,79990,95990,16,0,0,0,/imagelaptop/msi/msi-prestige-1-1.jpg,/imagelaptop/msi/msi-prestige-1-2.jpg,/imagelaptop/msi/msi-prestige-1-3.jpg,/imagelaptop/msi/msi-prestige-1-4.jpg,/imagelaptop/msi/msi-prestige-1-5.jpg
MSI,Katana,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,Missing,2,No,No,74990,95990,21,0,0,0,/imagelaptop/msi/msi-katana-1-1.jpg,/imagelaptop/msi/msi-katana-1-2.jpg,/imagelaptop/msi/msi-katana-1-3.jpg,/imagelaptop/msi/msi-katana-1-4.jpg,/imagelaptop/msi/msi-katana-1-5.jpg
MSI,Modern,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,55490,67990,18,4.3,138,16,/imagelaptop/msi/msi-model-1-1.jpg,/imagelaptop/msi/msi-model-1-2.jpg,/imagelaptop/msi/msi-model-1-3.jpg,/imagelaptop/msi/msi-model-1-4.jpg,
MSI,Sword,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,Missing,0,No,No,74990,95990,21,0,0,0,/imagelaptop/msi/msi-sword-1-1.jpg,/imagelaptop/msi/msi-sword-1-2.jpg,/imagelaptop/msi/msi-sword-1-3.jpg,/imagelaptop/msi/msi-sword-1-4.jpg,/imagelaptop/msi/msi-sword-1-5.jpg
MSI,Modern,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,56490,57240,1,4.5,814,112,/imagelaptop/msi/msi-model-1-1.jpg,/imagelaptop/msi/msi-model-1-2.jpg,/imagelaptop/msi/msi-model-1-3.jpg,/imagelaptop/msi/msi-model-1-4.jpg,
MSI,Modern,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,54990,61990,11,4.4,714,147,/imagelaptop/msi/msi-model-1-1.jpg,/imagelaptop/msi/msi-model-1-2.jpg,/imagelaptop/msi/msi-model-1-3.jpg,/imagelaptop/msi/msi-model-1-4.jpg,
MSI,Modern,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,55990,67990,17,0,0,0,/imagelaptop/msi/msi-model-1-1.jpg,/imagelaptop/msi/msi-model-1-2.jpg,/imagelaptop/msi/msi-model-1-3.jpg,/imagelaptop/msi/msi-model-1-4.jpg,
