,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date,img_url1,img_url2,img_url3,img_url4,img_url5
1,Apple,iPhone 11 128GB Black (MWLE2),iOS,1215,22320,19740,25178,100,6.1,128,3110,19-Sep,/imagephone/apple/iphone-11-black-1.jpg,/imagephone/apple/iphone-11-black-2.jpg,/imagephone/apple/iphone-11-black-3.jpg,/imagephone/apple/iphone-11-black-4.jpg,/imagephone/apple/iphone-11-black-5.jpg
2,Apple,iPhone 11 128GB White (MWLE2),iOS,1215,22320,19740,25178,100,6.1,128,3110,19-Sep,/imagephone/apple/iphone-11-white-1.jpg,/imagephone/apple/iphone-11-white-2.jpg,/imagephone/apple/iphone-11-white-3.jpg,/imagephone/apple/iphone-11-white-4.jpg,/imagephone/apple/iphone-11-white-5.jpg
3,Apple,iPhone 11 256GB Black (MWLL2),iOS,1090,25919,21432,28499,76,6.1,256,3110,19-Sep,/imagephone/apple/iphone-11-black-1.jpg,/imagephone/apple/iphone-11-black-2.jpg,/imagephone/apple/iphone-11-black-3.jpg,/imagephone/apple/iphone-11-black-4.jpg,/imagephone/apple/iphone-11-black-5.jpg
4,Apple,iPhone 11 256GB White Box Black (MHDP3),iOS,635,26090,24299,29999,27,6.1,256,3110,20-Nov,/imagephone/apple/iphone-11-white-1.jpg,/imagephone/apple/iphone-11-white-2.jpg,/imagephone/apple/iphone-11-white-3.jpg,/imagephone/apple/iphone-11-white-4.jpg,/imagephone/apple/iphone-11-white-5.jpg
5,Apple,iPhone 11 64GB Black (MWLT2),iOS,1221,20889,18200,26499,93,6.1,64,3110,19-Sep,/imagephone/apple/iphone-11-black-1.jpg,/imagephone/apple/iphone-11-black-2.jpg,/imagephone/apple/iphone-11-black-3.jpg,/imagephone/apple/iphone-11-black-4.jpg,/imagephone/apple/iphone-11-black-5.jpg
6,Apple,iPhone 11 64GB White (MWN12),iOS,804,20986,19458,25290,33,6.1,64,3110,19-Sep,/imagephone/apple/iphone-11-white-1.jpg,/imagephone/apple/iphone-11-white-2.jpg,/imagephone/apple/iphone-11-white-3.jpg,/imagephone/apple/iphone-11-white-4.jpg,/imagephone/apple/iphone-11-white-5.jpg
7,Apple,iPhone 11 Pro 256GB Dual Sim Midnight Green (MWDH2),iOS,708,33505,31199,38003,21,5.8,256,3190,19-Oct,/imagephone/apple/iphone-11-Green-1.jpg,/imagephone/apple/iphone-11-Green-2.jpg,/imagephone/apple/iphone-11-Green-3.jpg,/imagephone/apple/iphone-11-Green-4.jpg,/imagephone/apple/iphone-11-Green-5.jpg
8,Apple,iPhone 11 Pro 256GB Gold (MWDH2),iOS,708,33505,31199,38003,21,5.8,256,3190,19-Oct,/imagephone/apple/iphone-11-BronzeYellow-1.jpg,/imagephone/apple/iphone-11-BronzeYellow-2.jpg,/imagephone/apple/iphone-11-BronzeYellow-3.jpg,/imagephone/apple/iphone-11-BronzeYellow-4.jpg,/imagephone/apple/iphone-11-BronzeYellow-5.jpg
9,Apple,iPhone 11 Pro 256GB White (MWDH2),iOS,708,33505,31199,38003,21,5.8,256,3190,19-Oct,/imagephone/apple/iphone-11pro-white-1.jpg,/imagephone/apple/iphone-11pro-white-2.jpg,/imagephone/apple/iphone-11pro-white-3.jpg,/imagephone/apple/iphone-11pro-white-4.jpg,/imagephone/apple/iphone-11pro-white-5.jpg
10,Apple,iPhone 11 Pro 256GB Black (MWDH2),iOS,708,33505,31199,38003,21,5.8,256,3190,19-Oct,/imagephone/apple/iphone-11pro-black-1.jpg,
11,Apple,iPhone 11 Pro 512GB Black (MWDK2),iOS,564,36188,31899,50670,39,5.8,512,3190,19-Oct,/imagephone/apple/iphone-11pro-black-1.jpg,
