,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date,img_url1,img_url2,img_url3,img_url4,img_url5
1,Samsung,Galaxy S6 32GB (White Pearl),Android,845,3529,3100,3959,2,5.1,32,2550,15-Mar,/imagephone/samsung/samsung-galaxy-s6-1.jpg,/imagephone/samsung/samsung-galaxy-s6-2.jpg,/imagephone/samsung/samsung-galaxy-s6-3.jpg,/imagephone/samsung/samsung-galaxy-s6-4.jpg,
2,Samsung,Galaxy S6 Edge 32GB ,Android,325,4511,,,1,5.1,32,2600,15-Mar,/imagephone/samsung/samsung-galaxy-s6-gold-1.jpg,/imagephone/samsung/samsung-galaxy-s6-gold-2.jpg,/imagephone/samsung/samsung-galaxy-s6-gold-3.jpg,/imagephone/samsung/samsung-galaxy-s6-gold-4.jpg,/imagephone/samsung/samsung-galaxy-s6-gold-5.jpg
3,Samsung,Galaxy S7 Edge 32GB Gold (SM-G935FZDU),Android,605,5930,,,1,5.5,32,3600,16-Feb,/imagephone/samsung/samsung-galaxy-s7-gold-1.jpg,/imagephone/samsung/samsung-galaxy-s7-gold-2.jpg,/imagephone/samsung/samsung-galaxy-s7-gold-3.jpg,/imagephone/samsung/samsung-galaxy-s7-gold-4.jpg,/imagephone/samsung/samsung-galaxy-s7-gold-5.jpg
4,Samsung,Galaxy A01 2/16GB Black (SM-A015FZKD),Android,1163,2940,2673,3158,33,5.7,16,3000,20-Jan,/imagephone/samsung/samsung-galaxy-A01-2.jpg,/imagephone/samsung/samsung-galaxy-A01-3.jpg,/imagephone/samsung/samsung-galaxy-A01-4.jpg,/imagephone/samsung/samsung-galaxy-A01-5.jpg,/imagephone/samsung/samsung-galaxy-A01-6.jpg
5,Samsung,Galaxy A01 Core 1/16GB Blue (SM-A013FZKD),Android,1073,2344,2098,2553,50,5.3,16,3000,20-Aug,/imagephone/samsung/samsung-galaxy-A01-1.jpg,/imagephone/samsung/samsung-galaxy-A01-blue-1.jpg,/imagephone/samsung/samsung-galaxy-A01-blue-2.jpg,/imagephone/samsung/samsung-galaxy-A01-blue-3.jpg,/imagephone/samsung/samsung-galaxy-A01-blue-4.jpg
6,Samsung,Galaxy A02s 3/32GB Blue (SM-A025FZBE),Android,1078,3776,3599,3799,25,6.5,32,5000,21-Jan,/imagephone/samsung/samsung-galaxy-A02s-blue-1.jpg,/imagephone/samsung/samsung-galaxy-A02s-blue-2.jpg,/imagephone/samsung/samsung-galaxy-A02s-blue-3.jpg,/imagephone/samsung/samsung-galaxy-A02s-blue-4.jpg,/imagephone/samsung/samsung-galaxy-A02s-blue-5.jpg
7,Samsung,Galaxy A02s 3/32GB White (SM-A025FZBE),Android,1078,3776,3599,3799,25,6.5,32,5000,21-Jan,/imagephone/samsung/samsung-galaxy-A02s-white-1.jpg,/imagephone/samsung/samsung-galaxy-A02s-white-2.jpg,/imagephone/samsung/samsung-galaxy-A02s-white-3.jpg,/imagephone/samsung/samsung-galaxy-A02s-white-4.jpg,/imagephone/samsung/samsung-galaxy-A02s-white-5.jpg
8,Samsung,Galaxy A10s 2019 SM-A107F 2/32GB Black (SM-A107FZKD),Android,1129,3348,3170,3999,24,6.2,32,4000,19-Aug,/imagephone/samsung/samsung-galaxy-A10s-black-1.jpg,/imagephone/samsung/samsung-galaxy-A10s-black-2.jpg,/imagephone/samsung/samsung-galaxy-A10s-black-3.jpg,/imagephone/samsung/samsung-galaxy-A10s-black-4.jpg,/imagephone/samsung/samsung-galaxy-A10s-black-5.jpg
9,Samsung,Galaxy A11 2/32GB Black (SM-A115FZKN),Android,1036,4101,3536,4396,40,6.4,32,4000,20-Jun,/imagephone/samsung/samsung-galaxy-A11-black-1.jpg,/imagephone/samsung/samsung-galaxy-A11-black-2.jpg,/imagephone/samsung/samsung-galaxy-A11-black-3.jpg,/imagephone/samsung/samsung-galaxy-A11-black-4.jpg,/imagephone/samsung/samsung-galaxy-A11-black-5.jpg
10,Samsung,Galaxy A12 SM-A125F 3/32GB Black (SM-A125FZKUSEK),Android,1008,4473,4186,4999,63,6.5,32,5000,21-Jan,/imagephone/samsung/samsung-galaxy-A12-black-1.jpg,/imagephone/samsung/samsung-galaxy-A12-black-2.jpg,/imagephone/samsung/samsung-galaxy-A12-black-3.jpg,/imagephone/samsung/samsung-galaxy-A12-black-4.jpg,/imagephone/samsung/samsung-galaxy-A12-black-5.jpg
