,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
1033,Sony,Xperia 1 II XQ-AT51 8/256GB Black,Android,357,29990,,,1,6.5,256,4000,20-Dec
1034,Sony,Xperia 1 II XQ-AT51 8/256GB Black,Android,365,29990,,,1,6.5,256,4000,20-Dec
1035,Sony,Xperia 1 II XQ-AT52 12/256GB Mirror Lake Green,Android,1001,34165,31520,36999,18,6.5,256,4000,20-Dec
1036,Sony,Xperia 1 II XQ-AT52 8/256GB Purple,Android,1066,31426,29990,33999,20,6.5,256,4000,20-Aug
1037,Sony,Xperia 1 J9110 Black,Android,1028,18063,17480,18999,21,6.5,128,3330,19-Jun
1038,Sony,Xperia 10 I4113 Black,Android,950,5599,,,1,6,64,2870,19-Mar
1039,Sony,Xperia 10 II 4/128GB Mint,Android,1143,10887,10319,11990,15,6,128,3600,20-Aug
1040,Sony,Xperia 5 II 8/128GB Black,Android,284,29990,,,1,6.1,128,4000,20-Dec
1041,Sony,Xperia 5 II 8/256GB Blue,Android,1025,29927,28549,31894,18,6.1,256,4000,20-Oct
1042,Sony,Xperia 5 J9210 6/128GB Black,Android,1014,17475,16980,18499,21,6.1,128,3140,19-Sep
1043,Sony,Xperia C5 Ultra Dual E5533 (Black),Android,197,8999,,,1,6,16,2930,15-Sep
1044,Sony,Xperia XA1 Dual (G3112) Black,Android,526,3399,,,1,5,32,2300,17-May
1045,Sony,Xperia XA1 Dual (G3112) Black,Android,537,3399,,,1,5,32,2300,17-May
1046,Sony,Xperia XZ (Black),Android,709,5749,,,1,5.2,64,2900,16-Sep
1047,Sony,Xperia XZ (Blue),Android,268,5199,,,1,5.2,64,2900,16-Sep
1048,Sony,Xperia XZ (Blue),Android,256,5199,,,1,5.2,64,2900,16-Sep
1049,Sony,Xperia XZ Dual F8332 (Black),Android,561,5199,,,1,5.2,64,2900,16-Oct
1050,Sony,Xperia Z (Black),Android,505,2070,,,1,5,16,2330,13-Jan
1051,Sony,Xperia Z5 Dual E6683 (White),Android,565,5244,5143,5415,5,5.2,32,2900,15-Sep
1052,Sony,Xperia Z5 Premium E6853 (Black),Android,676,4560,,,1,5.5,32,3430,15-Sep
