,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
378,Samsung,G920F Galaxy S6 32GB (White Pearl),Android,845,3529,3100,3959,2,5.1,32,2550,15-Mar
379,Samsung,G925F Galaxy S6 Edge 32GB (White Pearl),Android,325,4511,,,1,5.1,32,2600,15-Mar
380,Samsung,G935FD Galaxy S7 Edge 32GB Gold (SM-G935FZDU),Android,605,5930,,,1,5.5,32,3600,16-Feb
381,Samsung,Galaxy A01 2/16GB Black (SM-A015FZKD),Android,1163,2940,2673,3158,33,5.7,16,3000,20-Jan
382,Samsung,Galaxy A01 Core 1/16GB Black (SM-A013FZKD),Android,1073,2344,2098,2553,50,5.3,16,3000,20-Aug
383,Samsung,Galaxy A02s 3/32GB Blue (SM-A025FZBE),Android,1078,3776,3599,3799,25,6.5,32,5000,21-Jan
384,Samsung,Galaxy A10s 2019 SM-A107F 2/32GB Black (SM-A107FZKD),Android,1129,3348,3170,3999,24,6.2,32,4000,19-Aug
385,Samsung,Galaxy A11 2/32GB Black (SM-A115FZKN),Android,1036,4101,3536,4396,40,6.4,32,4000,20-Jun
386,Samsung,Galaxy A12 SM-A125F 3/32GB Black (SM-A125FZKUSEK),Android,1008,4473,4186,4999,63,6.5,32,5000,21-Jan
387,Samsung,Galaxy A12 SM-A125F 4/64GB Black (SM-A125FZKVSEK),Android,1092,4977,4598,5499,57,6.5,64,5000,21-Jan
388,Samsung,Galaxy A2 Core 2019 SM-A260 1/16GB Blue,Android,100,3222,3029,3515,8,5,16,2600,19-Nov
389,Samsung,Galaxy A2 Core 2019 SM-A260 1/16GB Blue,Android,91,3222,3029,3515,8,5,16,2600,19-Nov
390,Samsung,Galaxy A20e SM-A202F 3/32GB Black SM-A202FZKD,Android,1040,4595,4309,5095,9,5.8,32,3000,19-Jul
391,Samsung,Galaxy A20e SM-A202F 3/32GB White (SM-A202FZWD),Android,54,4300,4100,4500,2,5.8,32,3000,19-Dec
392,Samsung,Galaxy A20s 2019 A207F 3/32GB Black (SM-A207FZKD),Android,1017,4126,3599,4399,13,6.5,32,4000,19-Oct
393,Samsung,Galaxy A21s 3/32GB Black (SM-A217FZKN),Android,1059,5174,4598,6470,46,6.5,32,5000,20-Jun
394,Samsung,Galaxy A30s 3/32GB Black (SM-A307FZKU),Android,1072,4524,3999,4789,4,6.4,32,4000,19-Sep
395,Samsung,Galaxy A30s 4/128GB White,Android,261,6340,,,1,6.4,64,4000,19-Nov
396,Samsung,Galaxy A30s 4/128GB White,Android,273,6340,,,1,6.4,64,4000,19-Nov
397,Samsung,Galaxy A30s 4/64GB Green (SM-A307FZGV),Android,778,6098,5799,6399,8,6.4,64,4000,19-Sep
398,Samsung,Galaxy A31 4/128GB Black (SM-A315FZKV),Android,1115,6510,5894,7499,74,6.4,128,5000,20-Apr
399,Samsung,Galaxy A31 4/64GB Black (SM-A315FZKU),Android,1185,5997,5368,6999,92,6.4,64,5000,20-Apr
400,Samsung,Galaxy A41 4/64GB Black (SM-A415FZKD),Android,1173,6693,5699,9547,19,6.1,64,3500,20-May
401,Samsung,Galaxy A50 2019 SM-A505F 4/128GB Black,Android,736,6687,6299,7154,16,6.4,128,4000,19-Apr
402,Samsung,Galaxy A50 2019 SM-A505F 4/64GB Blue (SM-A505FZBU),Android,874,5527,5499,5555,2,6.4,64,4000,19-Mar
403,Samsung,Galaxy A50 2019 SM-A505F 6/128GB Blue (SM-A505FZBQ),Android,712,6933,5999,7868,2,6.4,128,4000,19-Mar
404,Samsung,Galaxy A50s 2019 SM-A507FD 6/128GB Black,Android,168,8243,8107,8518,8,6.4,128,4000,19-Nov
405,Samsung,Galaxy A50s 2019 SM-A507FD 6/128GB Black,Android,118,8243,8107,8518,8,6.4,128,4000,19-Nov
406,Samsung,Galaxy A50s 2019 SM-A507FD 6/128GB Black,Android,127,8243,8107,8518,8,6.4,128,4000,19-Nov
407,Samsung,Galaxy A50s SM-A5070 6/128GB Prism Crush Green,Android,70,7159,6930,7979,5,6.4,128,4000,20-Mar
408,Samsung,Galaxy A51 2020 4/64GB Black (SM-A515FZKU),Android,1192,7139,6497,7999,83,6.5,64,4000,20-Jan
409,Samsung,Galaxy A51 2020 6/128GB Blue (SM-A515FZBW),Android,1177,8076,7436,8999,77,6.5,128,4000,20-Jan
410,Samsung,Galaxy A51 SM-A515F 2020 8/128GB Blue,Android,783,8538,8230,9067,20,6.5,128,4000,20-Jul
411,Samsung,Galaxy A51 SM-A515F 4/128GB Black,Android,970,7135,6870,7600,9,6.5,128,4000,20-Mar
412,Samsung,Galaxy A51 SM-A515F 6/128GB Metallic Silver (SM-A515FMSW),Android,1039,8152,7436,8999,66,6.5,128,4000,20-Jul
413,Samsung,Galaxy A6+ 3/32GB Gold (SM-A605FZDN),Android,205,7064,7032,7129,3,6,32,3500,18-May
414,Samsung,Galaxy A6+ 3/32GB Lavender,Android,484,5292,5255,5330,2,6,32,3500,18-May
415,Samsung,Galaxy A6+ 4/32GB Gold,Android,346,7071,7032,7129,4,6,32,3500,18-Jun
416,Samsung,Galaxy A7 2018 4/64GB Black (SM-A750FZKU),Android,279,5699,,,1,6,64,3300,18-Oct
417,Samsung,Galaxy A7 2018 4/64GB Blue (SM-A750FZBU),Android,689,5893,5570,6283,6,6,64,3300,18-Oct
418,Samsung,Galaxy A70 2019 SM-A7050 6/128GB Black,Android,339,8816,8299,10175,14,6.7,128,4500,19-May
419,Samsung,Galaxy A70 2019 SM-A7050 6/128GB Blue,Android,173,8965,8230,9499,11,6.7,128,4500,19-Aug
420,Samsung,Galaxy A70 2019 SM-A7050 6/128GB Blue,Android,209,8965,8230,9499,11,6.7,128,4500,19-Aug
421,Samsung,Galaxy A70 2019 SM-A7050 6/128GB Blue,Android,222,8965,8230,9499,11,6.7,128,4500,19-Aug
422,Samsung,Galaxy A70 2019 SM-A705F 6/128GB Black (SM-A705FZKU),Android,611,8986,8449,9399,9,6.7,128,4500,19-Apr
423,Samsung,Galaxy A71 2020 6/128GB Black (SM-A715FZKU),Android,1209,10403,9396,14538,79,6.7,128,4500,20-Jan
424,Samsung,Galaxy A71 2020 SM-A715F 8/128GB Blue,Android,957,10848,10340,11999,20,6.7,128,4500,20-May
425,Samsung,Galaxy A8+ 2018 32GB Gold (SM-A730FZDD),Android,44,7309,6780,8928,5,6,32,3500,18-Jan
426,Samsung,Galaxy A8+ 2018 32GB Orchid Gray (SM-A730FZVD),Android,93,7253,6799,8499,5,6,32,3500,18-Jan
427,Samsung,Galaxy A8+ 2018 32GB Orchid Gray (SM-A730FZVD),Android,102,7253,6799,8499,5,6,32,3500,18-Jan
428,Samsung,Galaxy A8+ 2018 4/64GB Orchid Gray,Android,143,6542,,,1,6,64,3500,18-Feb
