,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
254,Xiaomi,Black Shark 2 Pro 8/128GB Black,Android,150,15149,14999,15299,2,6.39,128,4000,19-Nov
255,Xiaomi,Black Shark 2 Pro 8/128GB Iceberg Grey,Android,43,15399,14910,15999,11,6.39,128,4000,19-Nov
256,Xiaomi,Black Shark 3 12/256GB Black,Android,726,18319,17400,18999,4,6.67,256,4720,20-Jul
257,Xiaomi,Black Shark 3 8/128GB Black,Android,1098,13846,13151,14999,31,6.67,128,4720,20-Jun
258,Xiaomi,Black Shark 8/128GB Black,Android,53,13146,,,1,5.99,128,4000,18-May
601,Xiaomi,Mi 10 Lite 6/128GB Cosmic Grey,Android,926,11104,8649,13083,9,6.57,128,4160,20-Jun
602,Xiaomi,Mi 10 Lite 6/64GB Cosmic Grey,Android,1087,12456,,,1,6.57,64,4160,20-Jun
603,Xiaomi,Mi 10 Lite 8/256GB Dream White,Android,836,12055,11898,12498,6,6.57,256,4160,20-Jun
604,Xiaomi,Mi 10 Pro 8/256GB Gray,Android,1026,27999,,,1,6.67,256,4500,20-May
605,Xiaomi,Mi 10T 6/128GB Cosmic Black,Android,1154,12778,12077,14728,49,6.67,128,5000,20-Oct
606,Xiaomi,Mi 10T 8/128GB Cosmic Black,Android,1191,13236,12399,14538,47,6.67,128,5000,20-Oct
607,Xiaomi,Mi 10T Lite 6/128GB Pearl Gray,Android,1133,9502,8999,10089,26,6.67,128,4820,20-Oct
608,Xiaomi,Mi 10T Lite 6/64GB Pearl Gray,Android,1037,9039,8699,9299,5,6.67,64,4820,20-Oct
609,Xiaomi,Mi 10T Pro 8/128GB Cosmic Black,Android,1152,15767,14999,16720,17,6.67,128,5000,20-Oct
610,Xiaomi,Mi 10T Pro 8/256GB Cosmic Black,Android,1168,16756,15999,17538,12,6.67,256,5000,20-Oct
611,Xiaomi,Mi Max 2 4/64GB Black,Android,393,3989,,,1,6.44,64,5300,17-Jun
612,Xiaomi,Mi Note 10 Lite 6/64GB Purple,Android,558,8999,,,1,6.47,64,5260,20-May
613,Xiaomi,Mi5 3/32GB Gold,Android,511,4098,,,1,5.15,32,3000,16-Feb
738,Xiaomi,Poco F2 Pro 6/128GB Electric Purple,Android,1150,12999,,,1,6.67,128,4700,20-May
739,Xiaomi,Poco M3 4/128GB Black,Android,1116,5372,4933,6005,41,6.53,128,6000,20-Nov
740,Xiaomi,Poco M3 4/64GB Black,Android,1217,4708,4270,5345,34,6.53,64,6000,20-Nov
741,Xiaomi,Poco X3 NFC 6/128GB Cobalt Blue,Android,1222,7152,6836,7999,59,6.67,128,5160,20-Sep
742,Xiaomi,Poco X3 NFC 6/64GB Cobalt Blue,Android,1211,6488,6169,7499,57,6.67,64,5160,20-Sep
743,Xiaomi,Pocophone F1 6/128GB Blue,Android,946,7231,6930,7999,16,6.18,128,4000,18-Aug
761,Xiaomi,Redmi 10x 4G 4/128GB Blue,Android,1102,5133,4649,5600,10,6.53,128,5020,20-Jun
762,Xiaomi,Redmi 10x 4G 6/128GB Blue,Android,966,5761,5569,5999,7,6.53,128,5020,20-Jun
763,Xiaomi,Redmi 4x 2/16GB Black,Android,580,2358,2353,2363,2,5,16,4100,17-Mar
764,Xiaomi,Redmi 4x 2/16GB Gold,Android,597,2358,2353,2363,2,5,16,4100,17-Mar
765,Xiaomi,Redmi 4x 4/64GB Black,Android,1093,2826,2775,2850,4,5,64,4100,17-Aug
766,Xiaomi,Redmi 4x 4/64GB Gold,Android,850,2826,2775,2850,4,5,64,4100,17-Jul
767,Xiaomi,Redmi 5 3/32GB Black,Android,636,2950,,,1,5.7,32,3300,17-Dec
768,Xiaomi,Redmi 5 3/32GB Gold,Android,743,3882,2940,4427,4,5.7,32,3300,17-Dec
769,Xiaomi,Redmi 5 Plus 4/64GB Black,Android,608,3463,3458,3469,2,5.9,64,4000,17-Dec
770,Xiaomi,Redmi 5 Plus 4/64GB Gold,Android,859,4265,3458,5349,4,5.9,64,4000,17-Dec
771,Xiaomi,Redmi 5A 2/16GB Gold,Android,715,2420,2150,2560,2,5,16,3080,17-Oct
772,Xiaomi,Redmi 5A 3/32GB Gold,Android,141,2400,2350,2450,2,5,32,3080,18-Apr
773,Xiaomi,Redmi 5A 3/32GB Gray,Android,358,2749,2350,3449,3,5,32,3080,18-Apr
774,Xiaomi,Redmi 5A 3/32GB Gray,Android,366,2749,2350,3449,3,5,32,3080,18-Apr
